"ÿ??
ÿÿÿÿÿÿÿÿ?",ÿÿÿ??ÿÿ?,ÿÿÿÿÿÿÿÿÿ,ÿÿÿ??ÿ,"ÿ??
ÿÿ?ÿÿÿ?
ÿ??ÿÿ?ÿÿ",ÿÿÿÿÿÿ,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿ,ÿÿ?ÿÿÿÿ?,ÿÿÿÿ?ÿÿÿ,"ÿÿ?ÿÿÿÿ?ÿÿ?/
ÿÿÿÿÿ?",ÿÿÿ?ÿÿÿ/ÿ?ÿÿÿÿ,2 ÿ?ÿ?ÿÿÿ,3 ÿ?ÿ?ÿÿÿ,4-9 ÿ?ÿ?ÿÿÿ,10 ÿ?ÿ?ÿÿÿ/ÿÿÿ?ÿÿÿ,ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿ?,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ? ÿÿÿÿÿÿÿÿÿ,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ???,ÿÿ??ÿÿÿ?ÿ,ÿ?ÿ??ÿÿÿ?ÿÿ,ÿÿ?ÿÿÿÿÿ?ÿ,ÿÿÿÿÿ,ÿÿÿ?ÿ,ÿÿÿÿ??ÿÿ,ÿ??ÿ,ÿÿÿÿ?,ÿÿÿÿ?ÿ,ÿ??ÿ?,ÿ?ÿ?ÿ,ÿ?ÿ?ÿ,ÿ?ÿÿ?,ÿÿÿ?ÿ,ÿÿ??ÿ?,ÿ?ÿ?ÿ,latitude,longitude
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿÿ,5,ÿÿ?ÿ?,81030105,,/,,/,,/,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,7.506420,99.067473
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿÿ,7,ÿ?ÿÿÿÿÿ,81030107,,/,,/,,/,,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,7.485522,99.108697
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿ?,ÿÿÿÿÿÿ,2,ÿ?ÿÿÿÿÿÿ,81060402,,/,,,,/,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,,8.449863,98.841976
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿ?ÿÿ,ÿ??,ÿÿÿÿ??,ÿÿÿÿÿÿ,5,ÿ?ÿ?ÿÿ,81070305,,/,/,/,/,,,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,8.072308,99.269085
ÿÿÿÿÿÿÿÿ?ÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,3,ÿÿÿÿÿ?ÿÿÿÿ,81050503,,,/,,,/,,,,,,/,ÿÿÿÿ?,,,,,,,,,ÿÿÿÿ?,,,,,,,8.301499,98.745419
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿ?ÿÿÿ,ÿÿÿÿÿÿ,3,ÿÿÿ,81030203,,/,,,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,7.637975,99.112004
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿ?ÿÿÿ,ÿÿÿÿÿÿ,4,ÿÿÿÿÿ?ÿ,81030204,,/,,,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,7.614942,99.117097
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿ?ÿÿÿ,ÿÿÿÿÿÿ,6,ÿ?ÿ?ÿ,81030206,,/,,,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,7.614625,99.117845
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿÿ,6,ÿÿ?ÿ?,81030106,,/,,/,,,/,,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,,,7.545018,99.052162
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿÿ,8,ÿÿ??,81030108,,/,,/,,,/,,,,/,,,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,7.549404,99.044686
